member_id,phrase,source_type,sort_order,source_url,verification_status
mem_3a1d20823e,Functional Nucleic Acid,declared_area_list,4,https://profiles.ucalgary.ca/richa-pandey,source_declared
mem_3a936b52e4,Areas of Focus,declared_area_title,0,https://profiles.ucalgary.ca/oluwabukola-salami,source_declared
mem_3cc315d4d3,Brain,declared_area_title,0,https://profiles.ucalgary.ca/gerald-zamponi,source_declared
mem_3cc315d4d3,Molecular Mechanisms,declared_area_title,1,https://profiles.ucalgary.ca/gerald-zamponi,source_declared
mem_3cc315d4d3,Pain,declared_area_title,2,https://profiles.ucalgary.ca/gerald-zamponi,source_declared
mem_3d16baf56d,"Child, adolescent, and young adult psychosocial oncology",declared_area_detail,0,https://profiles.ucalgary.ca/perri-tutelman,source_declared
mem_3d16baf56d,Digital mental health,declared_area_detail,1,https://profiles.ucalgary.ca/perri-tutelman,source_declared
mem_3d17c87dc2,"Signaling, Regulation of muscle contraction",declared_area_title,0,https://profiles.ucalgary.ca/michael-patrick-walsh,source_declared
mem_3d341c6e6a,Metabolic Physiology,declared_area_list,0,https://profiles.ucalgary.ca/jane-shearer,source_declared
mem_3e0e98847e,Autism,declared_area_title,0,https://profiles.ucalgary.ca/david-nicholas,source_declared
mem_3e0e98847e,Determinants of Health,declared_area_title,1,https://profiles.ucalgary.ca/david-nicholas,source_declared
mem_3e0e98847e,Health Services Research,declared_area_title,2,https://profiles.ucalgary.ca/david-nicholas,source_declared
mem_3e0e98847e,Neurodevelopmental Disorders,declared_area_title,3,https://profiles.ucalgary.ca/david-nicholas,source_declared
mem_3e0e98847e,Patient and Family Centred Care,declared_area_title,4,https://profiles.ucalgary.ca/david-nicholas,source_declared
mem_3e0ef14a60,"Child mental health, Gender-Based Violence; Trauma across the lifespan, Simulation-Based Learning",declared_area_title,0,https://profiles.ucalgary.ca/angelique-jenney,source_declared
mem_3e0ef14a60,Simulation-based Experiential Learning,declared_area_title,1,https://profiles.ucalgary.ca/angelique-jenney,source_declared
mem_3ed07ce6c8,Dementia & Cognitive Disorders,declared_area_title,0,https://profiles.ucalgary.ca/g-bruce-pike,source_declared
mem_3ed07ce6c8,Epilepsy,declared_area_title,1,https://profiles.ucalgary.ca/g-bruce-pike,source_declared
mem_3ed07ce6c8,Mental Health,declared_area_title,2,https://profiles.ucalgary.ca/g-bruce-pike,source_declared
mem_3ed07ce6c8,Movement Disorders,declared_area_title,3,https://profiles.ucalgary.ca/g-bruce-pike,source_declared
mem_3ed07ce6c8,Multiple Sclerosis,declared_area_title,4,https://profiles.ucalgary.ca/g-bruce-pike,source_declared
mem_3ed07ce6c8,Magnetic Resonance Imaging,declared_area_title,5,https://profiles.ucalgary.ca/g-bruce-pike,source_declared
mem_3ed07ce6c8,MRI,declared_area_title,6,https://profiles.ucalgary.ca/g-bruce-pike,source_declared
mem_3ed07ce6c8,Cerebral Blood Flow,declared_area_title,7,https://profiles.ucalgary.ca/g-bruce-pike,source_declared
mem_3f62008a1f,Post-secondary mental health and well-being,declared_area_list,0,https://profiles.ucalgary.ca/jennifer-thannhauser,source_declared
mem_3f62008a1f,Resilience in the post-secondary context,declared_area_list,1,https://profiles.ucalgary.ca/jennifer-thannhauser,source_declared
mem_3f62008a1f,Pediatric chronic illness,declared_area_list,2,https://profiles.ucalgary.ca/jennifer-thannhauser,source_declared
mem_3f62008a1f,Post-secondary mental health evaluation,declared_area_list,3,https://profiles.ucalgary.ca/jennifer-thannhauser,source_declared
mem_3faa6c8292,Electrical and Optical Instrumentation,declared_area_title,0,https://profiles.ucalgary.ca/kartikeya-murari,source_declared
mem_4031282ea1,Brain,declared_area_title,0,https://profiles.ucalgary.ca/jeffrey-frank-dunn,source_declared
mem_4031282ea1,Brain Injury,declared_area_title,1,https://profiles.ucalgary.ca/jeffrey-frank-dunn,source_declared
mem_4031282ea1,Inflammation,declared_area_title,2,https://profiles.ucalgary.ca/jeffrey-frank-dunn,source_declared
mem_4031282ea1,Magnetic Resonance Imaging,declared_area_title,3,https://profiles.ucalgary.ca/jeffrey-frank-dunn,source_declared
mem_4031282ea1,Mitochondria,declared_area_title,4,https://profiles.ucalgary.ca/jeffrey-frank-dunn,source_declared
mem_4031282ea1,Neuroimaging,declared_area_title,5,https://profiles.ucalgary.ca/jeffrey-frank-dunn,source_declared
mem_4031282ea1,Stroke,declared_area_title,6,https://profiles.ucalgary.ca/jeffrey-frank-dunn,source_declared
mem_40840edc6a,Mental Health,declared_area_title,0,https://profiles.ucalgary.ca/jean-margaret-addington,source_declared
mem_40840edc6a,Schizophrenia and other psychoses,declared_area_title,1,https://profiles.ucalgary.ca/jean-margaret-addington,source_declared
mem_40840edc6a,Risk of developing serious mental illness,declared_area_title,2,https://profiles.ucalgary.ca/jean-margaret-addington,source_declared
