member_id,profile_name,source_url,visible_source_label,normalized_label,source_type,visibility_policy,is_public,sort_order,canonical_mesh_ids,canonical_mesh_concepts,hbi_umbrella_ids,hbi_umbrella_tags,taxonomy_status,taxonomy_notes,built_at_utc
mem_b07951c366,Farhad Maleki,https://profiles.ucalgary.ca/farhad-maleki,Machine Learning,machine learning,declared_area_list,always_visible_source_declared,true,1,D000069550,Machine Learning,,,review,MeSH concept found; medical umbrella requires review,2026-07-31T20:56:20.541600+00:00
mem_b07951c366,Farhad Maleki,https://profiles.ucalgary.ca/farhad-maleki,Computer Vision,computer vision,declared_area_list,always_visible_source_declared,true,2,,,,,unresolved,no exact preferred-label or entry-term match in local MeSH 2026,2026-07-31T20:56:20.541600+00:00
mem_b07951c366,Farhad Maleki,https://profiles.ucalgary.ca/farhad-maleki,Computational Neuroscience,computational neuroscience,declared_area_list,always_visible_source_declared,true,3,,,,,unresolved,no exact preferred-label or entry-term match in local MeSH 2026,2026-07-31T20:56:20.541600+00:00
mem_b07951c366,Farhad Maleki,https://profiles.ucalgary.ca/farhad-maleki,Biomedical Data Analysis,biomedical data analysis,declared_area_list,always_visible_source_declared,true,4,,,,,unresolved,no exact preferred-label or entry-term match in local MeSH 2026,2026-07-31T20:56:20.541600+00:00
mem_b07951c366,Farhad Maleki,https://profiles.ucalgary.ca/farhad-maleki,Applied Machine Learning,applied machine learning,declared_area_list,always_visible_source_declared,true,5,D007858,Learning,HBI-MED-011,Cognitive and Behavioural Neuroscience,accepted,embedded medical phrase recovered from profile text; exact MeSH preferred/entry-term match plus curated umbrella rule,2026-07-31T20:56:20.541600+00:00
mem_cb50148558,Farnaz Amoozegar,https://profiles.ucalgary.ca/farnaz-amoozegar,Spinal Cord / Nerve Injury & Pain,spinal cord nerve injury pain,declared_area_title,always_visible_source_declared,true,0,,,,,unresolved,no exact preferred-label or entry-term match in local MeSH 2026,2026-07-31T20:56:20.541600+00:00
mem_53c25f2cf7,Fiona Costello,https://profiles.ucalgary.ca/fiona-costello,Multiple Sclerosis,multiple sclerosis,declared_area_list,always_visible_source_declared,true,0,D009103,Multiple Sclerosis,HBI-MED-002,Neurological Disorders,accepted,exact MeSH preferred/entry-term match plus curated umbrella rule,2026-07-31T20:56:20.541600+00:00
mem_53c25f2cf7,Fiona Costello,https://profiles.ucalgary.ca/fiona-costello,Ophthalmology,ophthalmology,declared_area_list,always_visible_source_declared,true,1,D009885,Ophthalmology,,,review,MeSH concept found; medical umbrella requires review,2026-07-31T20:56:20.541600+00:00
mem_53c25f2cf7,Fiona Costello,https://profiles.ucalgary.ca/fiona-costello,Visual pathways,visual pathways,declared_area_list,always_visible_source_declared,true,2,D014795,Visual Pathways,,,review,MeSH concept found; medical umbrella requires review,2026-07-31T20:56:20.541600+00:00
mem_53c25f2cf7,Fiona Costello,https://profiles.ucalgary.ca/fiona-costello,Central nervous system,central nervous system,declared_area_list,always_visible_source_declared,true,3,D002490,Central Nervous System,,,review,MeSH concept found; medical umbrella requires review,2026-07-31T20:56:20.541600+00:00
mem_53c25f2cf7,Fiona Costello,https://profiles.ucalgary.ca/fiona-costello,MS,ms,declared_area_list,always_visible_source_declared,true,4,,,,,unresolved,no exact preferred-label or entry-term match in local MeSH 2026,2026-07-31T20:56:20.541600+00:00
mem_53c25f2cf7,Fiona Costello,https://profiles.ucalgary.ca/fiona-costello,Tumors,tumors,declared_area_list,always_visible_source_declared,true,5,D009369,Neoplasms,HBI-MED-004,Cancer and Tumours,accepted,exact MeSH preferred/entry-term match plus curated umbrella rule,2026-07-31T20:56:20.541600+00:00
mem_4fcca18975,Frank MacMaster,https://profiles.ucalgary.ca/frank-macmaster,Brain,brain,declared_area_title,always_visible_source_declared,true,0,D001921,Brain,,,review,MeSH concept found; medical umbrella requires review,2026-07-31T20:56:20.541600+00:00
mem_4fcca18975,Frank MacMaster,https://profiles.ucalgary.ca/frank-macmaster,Brain Stimulation,brain stimulation,declared_area_title,always_visible_source_declared,true,1,,,,,unresolved,no exact preferred-label or entry-term match in local MeSH 2026,2026-07-31T20:56:20.541600+00:00
mem_4fcca18975,Frank MacMaster,https://profiles.ucalgary.ca/frank-macmaster,Mental Illness,mental illness,declared_area_title,always_visible_source_declared,true,2,D001523,Mental Disorders,HBI-MED-001,Mental Health,accepted,exact MeSH preferred/entry-term match plus curated umbrella rule,2026-07-31T20:56:20.541600+00:00
mem_4fcca18975,Frank MacMaster,https://profiles.ucalgary.ca/frank-macmaster,Neurodevelopmental disorders,neurodevelopmental disorders,declared_area_title,always_visible_source_declared,true,3,D065886,Neurodevelopmental Disorders,HBI-MED-001,Mental Health,accepted,exact MeSH preferred/entry-term match plus curated umbrella rule,2026-07-31T20:56:20.541600+00:00
mem_4fcca18975,Frank MacMaster,https://profiles.ucalgary.ca/frank-macmaster,Neuroimaging,neuroimaging,declared_area_title,always_visible_source_declared,true,4,D059906,Neuroimaging,HBI-MED-005,Imaging and Diagnostics,accepted,exact MeSH preferred/entry-term match plus curated umbrella rule,2026-07-31T20:56:20.541600+00:00
mem_a0bb31cffa,Frank Stahnisch,https://profiles.ucalgary.ca/frank-stahnisch,C-STEMS Project as a CIH Working Group -- Centre for Science,c stems project as a cih working group centre for science,declared_area_title,always_visible_source_declared,true,0,,,,,review,organization or organizational unit,2026-07-31T20:56:20.541600+00:00
mem_a0bb31cffa,Frank Stahnisch,https://profiles.ucalgary.ca/frank-stahnisch,Technology,technology,declared_area_title,always_visible_source_declared,true,1,D013672,Technology,,,review,MeSH concept found; medical umbrella requires review,2026-07-31T20:56:20.541600+00:00
mem_a0bb31cffa,Frank Stahnisch,https://profiles.ucalgary.ca/frank-stahnisch,Environment,environment,declared_area_title,always_visible_source_declared,true,2,D004777,Environment,,,review,MeSH concept found; medical umbrella requires review,2026-07-31T20:56:20.541600+00:00
mem_a0bb31cffa,Frank Stahnisch,https://profiles.ucalgary.ca/frank-stahnisch,and Medicine Studies,and medicine studies,declared_area_title,always_visible_source_declared,true,3,,,,,review,sentence-like narrative fragment,2026-07-31T20:56:20.541600+00:00
mem_98307ce526,Gabrielle Wilcox,https://profiles.ucalgary.ca/gabrielle-wilcox,Theoretical Orientations,theoretical orientations,declared_area_title,always_visible_source_declared,true,0,,,,,unresolved,no exact preferred-label or entry-term match in local MeSH 2026,2026-07-31T20:56:20.541600+00:00
