member_id,profile_name,source_url,tag_type,tag,normalized_tag,taxonomy_status,includes_legacy_narrative,built_at_utc,source_types,supporting_source_count,supporting_source_labels
mem_087ae95126,Derya Sargin,https://profiles.ucalgary.ca/derya-sargin,hbi_umbrella,Mental Health,mental health,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Mental Health
mem_0ba27398f2,Richelle Mychasiuk,https://profiles.ucalgary.ca/richelle-mychasiuk,mesh_concept,Neuronal Plasticity,neuronal plasticity,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,neuroplasticity
mem_0ba27398f2,Richelle Mychasiuk,https://profiles.ucalgary.ca/richelle-mychasiuk,hbi_umbrella,Cellular and Molecular Neuroscience,cellular and molecular neuroscience,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,neuroplasticity
mem_0ba6f2386f,Brian Brooks,https://profiles.ucalgary.ca/brian-brooks,mesh_concept,Brain Injuries,brain injuries,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Brain Injury
mem_0ba6f2386f,Brian Brooks,https://profiles.ucalgary.ca/brian-brooks,hbi_umbrella,Brain Injury and Neurotrauma,brain injury and neurotrauma,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Brain Injury
mem_0dc9704372,Emily Wang,https://profiles.ucalgary.ca/emily-wang-0,mesh_concept,Mental Health,mental health,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_list,1,complex trauma and mental health issues
mem_0dc9704372,Emily Wang,https://profiles.ucalgary.ca/emily-wang-0,hbi_umbrella,Mental Health,mental health,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_list,1,complex trauma and mental health issues
mem_0f73a389b6,Andrew Demchuk,https://profiles.ucalgary.ca/andrew-demchuk,mesh_concept,Ischemic Stroke,ischemic stroke,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,ischemic stroke
mem_0f73a389b6,Andrew Demchuk,https://profiles.ucalgary.ca/andrew-demchuk,mesh_concept,Stroke,stroke,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Stroke
mem_0f73a389b6,Andrew Demchuk,https://profiles.ucalgary.ca/andrew-demchuk,hbi_umbrella,Cardiovascular Health,cardiovascular health,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,2,Stroke || ischemic stroke
