member_id,link_group,platform,label,identifier,url,relationship_type,source_url,verification_status,display_order
mem_78b75777c4,research_profile,Google Scholar,Google Scholar Profile,,https://scholar.google.com/citations?user=9pw8FNkAAAAJ&hl=en&oi=ao,Scholarly profile,https://profiles.ucalgary.ca/christopher-kirton,source_declared,20
mem_78b75777c4,research_profile,PubMed,PubMed Author Search,,https://pubmed.ncbi.nlm.nih.gov/?term=kirton+a&sort=date,Publication index,https://profiles.ucalgary.ca/christopher-kirton,source_declared,60
mem_79f23a1fd5,research_profile,PubMed,PubMed Author Search,,https://pubmed.ncbi.nlm.nih.gov/?term=ranita+manocha,Publication index,https://profiles.ucalgary.ca/ranita-manocha,source_declared,60
mem_79f23a1fd5,research_ecosystem,Research Lab,Better Mobility Lab Instagram,,https://www.instagram.com/bettermobilitylab/,Research lab,https://profiles.ucalgary.ca/ranita-manocha,source_declared,100
mem_79f23a1fd5,research_ecosystem,Research Lab,Better Mobility Lab Twitter,,https://twitter.com/mobilitybetter,Research lab,https://profiles.ucalgary.ca/ranita-manocha,source_declared,100
mem_79f23a1fd5,research_ecosystem,Research Lab,Better Mobility Lab Website,,https://cumming.ucalgary.ca/labs/better-mobility,Research lab,https://profiles.ucalgary.ca/ranita-manocha,source_declared,100
mem_79f23a1fd5,research_ecosystem,Research Lab,Better Mobility Lab YouTube Channel,,https://www.youtube.com/@BetterMobilityLab,Research lab,https://profiles.ucalgary.ca/ranita-manocha,source_declared,100
mem_7a1797f182,research_profile,Google Scholar,Google Scholar Profile,,https://scholar.google.ca/citations?user=-y-yqgoAAAAJ&hl=en,Scholarly profile,https://profiles.ucalgary.ca/bryan-yipp,source_declared,20
mem_7a1797f182,research_profile,PubMed,PubMed Author Search,,https://pubmed.ncbi.nlm.nih.gov/?term=Yipp+BG&sort=date,Publication index,https://profiles.ucalgary.ca/bryan-yipp,source_declared,60
mem_7a1797f182,research_ecosystem,Research Lab,lab website,,https://www.yipplab.com/,Research lab,https://profiles.ucalgary.ca/bryan-yipp,source_declared,100
mem_7be3b79e71,research_ecosystem,Research Lab,Dr. Laura Curiel Lab,,https://www.ustlab.ca/,Research lab,https://profiles.ucalgary.ca/laura-curiel,source_declared,100
mem_7d3968111f,research_profile,Google Scholar,Google Scholar Profile,,https://scholar.google.com/citations?user=DadyMJcAAAAJ&hl=en,Scholarly profile,https://profiles.ucalgary.ca/jodie-roberts,source_declared,20
mem_81c06ea20f,research_profile,PubMed,PubMed Author Search,,https://www.ncbi.nlm.nih.gov/pubmed?cmd=DetailsSearch&term=richard+hawkes&save_search=true,Publication index,https://profiles.ucalgary.ca/richard-bernard-hawkes,source_declared,60
mem_82005c4912,research_profile,Google Scholar,Google Scholar Profile,,https://scholar.google.com/citations?user=UxtwQr8AAAAJ&hl=en,Scholarly profile,https://profiles.ucalgary.ca/grant-robert-gordon,source_declared,20
mem_830cb17f4e,research_profile,PubMed,PubMed Author Search,,https://www.ncbi.nlm.nih.gov/pubmed/?term=Millet+GY,Publication index,https://profiles.ucalgary.ca/guillaume-millet,source_declared,60
mem_830cb17f4e,research_ecosystem,Research Lab,Neuromuscular Fatigue Lab,,https://www.ucalgary.ca/nmfl/,Research lab,https://profiles.ucalgary.ca/guillaume-millet,source_declared,100
mem_84f207cee7,research_profile,Google Scholar,Google Scholar Profile,,https://scholar.google.ca/citations?hl=en&user=DsopmdYAAAAJ&view_op=list_works&authuser=1&sortby=pubdate,Scholarly profile,https://profiles.ucalgary.ca/richard-frayne,source_declared,20
mem_84f207cee7,research_profile,ORCID,ORCID Profile,0000-0003-0358-1210,https://orcid.org/0000-0003-0358-1210,Scholarly identifier,https://profiles.ucalgary.ca/richard-frayne,source_declared,30
